COMMAND;POSITION CE16 (mm);POSITION MLT (pts)
2527,25000000001;0;0
2527,25000000001;0;0
2554,50000000001;0;0
2582,00000000001;0;0
2609,25000000001;0;0
2636,75000000001;0;0
2664,00000000001;0;0
2730,50000000001;0;0
2752,58333333334;0;0
2763;0;0
2773,41666666667;0;0
2782,5;0;0
2791,66666666667;0;0
2802,08333333334;0;0
2811,16666666667;0;0
2820,25;0;0
2829,41666666667;0;0
2838,5;0;0
2847,66666666667;0;0
2856,75;0;0
2865,83333333334;0;0
2875;0;0
2884,08333333334;0;0
2893,16666666667;0;0
2903,58333333334;0;0
2912,75;0;0
2923,16666666667;0;0
2933,58333333334;0;0
2942,66666666667;0;0
2951,83333333334;0;0
3655,50000000004;0;0
3820,50000000004;0;0
3984,00000000004;0;0
4147,50000000004;0;0
4312,50000000004;0;0
4476,00000000004;0;0
4360,49999999996;0;0
4195,49999999996;0;0
4031,99999999996;0;0
3844,49999999996;0;0
3679,49999999996;0;0
3515,99999999996;0;0
3352,49999999996;0;0
3187,49999999996;0;0
3023,99999999996;0;0
2990,91666666666;0;0
2981,83333333333;0;0
2972,66666666666;0;0
2963,58333333333;0;0
2954,41666666666;0;0
2945,33333333333;0;0
2936,25;0;0
2927,08333333333;0;0
2918;0;0
2908,91666666666;0;0
2899,75;0;0
2890,66666666666;0;0
2881,5;0;0
2872,41666666666;0;0
2863,33333333333;0;0
2854,16666666666;0;0
2845,08333333333;0;0
2836;0;0
2826,83333333333;0;0
2817,75;0;0
2808,58333333333;0;0
2799,5;0;0
2790,41666666666;0;0
2781,25;0;0
2772,16666666666;0;0
2763,08333333333;0;0
2753,91666666666;0;0
2734,49999999999;0;0
2706,99999999999;0;0
2679,74999999999;0;0
2652,49999999999;0;0
2624,99999999999;0;0
2597,74999999999;0;0
2570,49999999999;0;0
2542,99999999999;0;0
2515,74999999999;0;0
2488,24999999999;0;0
2460,99999999999;0;0
2433,74999999999;0;0
2406,24999999999;0;0
2378,99999999999;0;0
2351,74999999999;0;0
2324,24999999999;0;0
2296,99999999999;0;0
2269,49999999999;0;0
2247,41666666666;0;0
2238,33333333333;0;0
2229,16666666666;0;0
2220,08333333333;0;0
2211;0;0
2201,83333333333;0;0
2192,75;0;0
2183,58333333333;0;0
2174,5;0;0
2165,41666666666;0;0
2156,25;0;0
2147,16666666666;0;0
2138,08333333333;0;0
2128,91666666666;0;0
2118,5;0;0
2109,41666666666;0;0
2100,25;0;0
2091,16666666666;0;0
2082,08333333333;0;0
2071,66666666666;0;0
2062,5;0;0
2053,41666666666;0;0
2044,33333333333;0;0
2035,16666666666;0;0
2026,08333333333;0;0
2016,91666666666;0;0
2007,83333333333;0;0
1977,49999999996;0;0
1812,49999999996;0;0
1648,99999999996;0;0
1485,49999999996;0;0
1297,99999999996;0;0
1086,49999999996;0;0
922,999999999963;0;0
757,999999999961;0;0
594,499999999961;0;0
570,500000000038;0;0
734,000000000038;0;0
897,500000000038;0;0
1062,50000000004;0;0
1226,00000000004;0;0
1389,50000000004;0;0
1554,50000000004;0;0
1718,00000000004;0;0
1883,00000000004;0;0
2002,58333333334;0;0
2011,66666666667;0;0
2020,83333333334;0;0
2029,91666666667;0;0
2039;0;0
2048,16666666667;0;0
2057,25;0;0
2066,41666666667;0;0
2075,5;0;0
2084,58333333334;0;0
2093,75;0;0
2102,83333333334;0;0
2111,91666666667;0;0
2121,08333333334;0;0
2130,16666666667;0;0
2139,33333333334;0;0
2148,41666666667;0;0
2157,5;0;0
2166,66666666667;0;0
2175,75;0;0
2184,83333333334;0;0
2195,25;0;0
2204,41666666667;0;0
2213,5;0;0
2222,66666666667;0;0
2231,75;0;0
2240,83333333334;0;0
2250,00000000001;0;0
2277,25000000001;0;0
2304,50000000001;0;0
2332,00000000001;0;0
2359,25000000001;0;0
2386,75000000001;0;0
2414,00000000001;0;0
2441,25000000001;0;0
2472,50000000001;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
