COMMAND;POSITION CE16 (mm);POSITION MLT (pts)
2527,24999999957;0;0
2527,24999999957;0;0
2554,74999999957;0;0
2581,99999999957;0;0
2609,49999999957;0;0
2636,74999999957;0;0
2663,99999999957;0;0
2691,49999999957;0;0
2718,74999999957;0;0
2745,99999999957;0;0
2757,83333333319;0;0
2766,91666666652;0;0
2776,08333333319;0;0
2785,16666666652;0;0
2794,24999999986;0;0
2803,41666666652;0;0
2812,49999999986;0;0
2821,58333333319;0;0
2830,74999999986;0;0
2839,83333333319;0;0
2848,99999999986;0;0
2858,08333333319;0;0
2867,16666666652;0;0
2876,33333333319;0;0
2885,41666666652;0;0
2894,49999999986;0;0
2903,66666666652;0;0
2912,74999999986;0;0
2921,91666666652;0;0
2930,99999999986;0;0
2940,08333333319;0;0
2949,24999999986;0;0
2960,91666666652;0;0
2970,08333333319;0;0
2979,16666666652;0;0
2988,24999999986;0;0
2997,41666666652;0;0
3116,99999999743;0;0
3469,49999999742;0;0
3632,99999999742;0;0
3796,49999999742;0;0
3961,49999999742;0;0
4124,99999999742;0;0
4288,49999999742;0;0
4453,49999999743;0;0
4383,00000000257;0;0
4218,00000000258;0;0
4054,50000000258;0;0
3891,00000000258;0;0
3726,00000000258;0;0
3562,50000000258;0;0
3399,00000000258;0;0
3234,00000000257;0;0
3070,50000000257;0;0
2994,75000000014;0;0
2985,66666666681;0;0
2976,58333333348;0;0
2967,41666666681;0;0
2958,33333333348;0;0
2949,25000000014;0;0
2940,08333333348;0;0
2931,00000000014;0;0
2921,83333333348;0;0
2912,75000000014;0;0
2903,66666666681;0;0
2894,50000000014;0;0
2885,41666666681;0;0
2876,33333333348;0;0
2867,16666666681;0;0
2858,08333333348;0;0
2848,91666666681;0;0
2839,83333333348;0;0
2830,75000000014;0;0
2821,58333333348;0;0
2812,50000000014;0;0
2803,41666666681;0;0
2794,25000000014;0;0
2785,16666666681;0;0
2776,00000000014;0;0
2766,91666666681;0;0
2757,83333333348;0;0
2746,00000000043;0;0
2718,75000000043;0;0
2691,50000000043;0;0
2664,00000000043;0;0
2636,75000000043;0;0
2609,25000000043;0;0
2582,00000000043;0;0
2554,75000000043;0;0
2527,25000000043;0;0
2500,00000000043;0;0
2472,75000000043;0;0
2445,25000000043;0;0
2418,00000000043;0;0
2390,50000000043;0;0
2363,25000000043;0;0
2336,00000000043;0;0
2308,50000000043;0;0
2281,25000000043;0;0
2254,00000000043;0;0
2242,16666666681;0;0
2233,08333333348;0;0
2223,91666666681;0;0
2214,83333333348;0;0
2205,75000000014;0;0
2196,58333333348;0;0
2187,50000000014;0;0
2178,41666666681;0;0
2169,25000000014;0;0
2160,16666666681;0;0
2151,00000000014;0;0
2141,91666666681;0;0
2132,83333333348;0;0
2123,66666666681;0;0
2114,58333333348;0;0
2105,50000000014;0;0
2096,33333333348;0;0
2087,25000000014;0;0
2078,08333333348;0;0
2069,00000000014;0;0
2059,91666666681;0;0
2050,75000000014;0;0
2041,66666666681;0;0
2032,58333333348;0;0
2023,41666666681;0;0
2014,33333333348;0;0
2005,16666666681;0;0
1929,50000000258;0;0
1766,00000000258;0;0
1601,00000000258;0;0
1437,50000000258;0;0
1274,00000000258;0;0
1109,00000000257;0;0
945,500000002575;0;0
780,500000002576;0;0
617,000000002576;0;0
546,499999997424;0;0
711,499999997423;0;0
874,999999997423;0;0
1108,99999999742;0;0
1273,99999999742;0;0
1437,49999999742;0;0
1600,99999999742;0;0
1765,99999999743;0;0
1929,49999999743;0;0
2005,24999999986;0;0
2014,33333333319;0;0
2023,41666666652;0;0
2032,58333333319;0;0
2052,08333333319;0;0
2061,16666666652;0;0
2070,33333333319;0;0
2079,41666666652;0;0
2088,58333333319;0;0
2097,66666666652;0;0
2106,74999999986;0;0
2115,91666666652;0;0
2124,99999999986;0;0
2134,08333333319;0;0
2143,24999999986;0;0
2152,33333333319;0;0
2161,49999999986;0;0
2170,58333333319;0;0
2179,66666666652;0;0
2188,83333333319;0;0
2197,91666666652;0;0
2206,99999999986;0;0
2216,16666666652;0;0
2225,24999999986;0;0
2234,41666666652;0;0
2243,49999999986;0;0
2257,74999999957;0;0
2285,24999999957;0;0
2312,49999999957;0;0
2339,74999999957;0;0
2367,24999999957;0;0
2394,49999999957;0;0
2421,99999999957;0;0
2449,24999999957;0;0
2476,49999999957;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
