COMMAND;POSITION CE16 (mm);POSITION MLT (pts)
2527,24999999919;0;0
2554,49999999837;0;0
2581,99999999852;0;0
2609,25000000134;0;0
2636,50000000052;0;0
2664,00000000067;0;0
2691,24999999985;0;0
2718,75;0;0
2745,99999999919;0;0
3451,14999999641;0;0
3511,64999999673;0;0
3571,60000000295;0;0
3631,55000000115;0;0
3692,05000000147;0;0
3751,99999999968;0;0
3812,5;0;0
3872,44999999821;0;0
3932,39999999641;0;0
3992,89999999673;0;0
4052,85000000295;0;0
4112,80000000115;0;0
4173,30000000147;0;0
4242,05000000147;0;0
4301,99999999968;0;0
4362,5;0;0
4422,44999999821;0;0
4482,39999999641;0;0
4414,20000000653;0;0
4294,29999999411;0;0
4174,3999999977;0;0
4053,39999999705;0;0
3933,50000000064;0;0
3812,5;0;0
3692,60000000359;0;0
3572,70000000717;0;0
3451,70000000653;0;0
3359,69999999652;0;0
3288,84999999864;0;0
3217,34999999826;0;0
3146,50000000038;0;0
3075;0;0
3004,15000000212;0;0
2933,30000000424;0;0
2861,80000000386;0;0
2790,94999999652;0;0
2726,99999999895;0;0
2671,99999999866;0;0
2617,50000000029;0;0
2562,5;0;0
2508,00000000163;0;0
2453,50000000326;0;0
2398,50000000297;0;0
2343,99999999732;0;0
2289,49999999895;0;0
2226,74999999799;0;0
2145,00000000044;0;0
2062,5;0;0
1980,75000000244;0;0
1899,00000000489;0;0
1816,50000000445;0;0
1734,74999999598;0;0
1652,99999999843;0;0
1570,49999999799;0;0
1492,50000000029;0;0
1437,5;0;0
1383,00000000163;0;0
1328,50000000326;0;0
1273,50000000297;0;0
1218,99999999732;0;0
1164,49999999895;0;0
1109,49999999866;0;0
1055,00000000029;0;0
1000;0;0
945,50000000163;0;0
891,00000000326;0;0
836,000000002969;0;0
781,499999997322;0;0
726,999999998952;0;0
671,999999998661;0;0
617,500000000291;0;0
562,5;0;0
508,00000000163;0;0
592,999999993481;0;0
702,999999994063;0;0
812,000000005355;0;0
921,000000002095;0;0
1031,00000000268;0;0
1139,99999999942;0;0
1250;0;0
1358,99999999674;0;0
1467,99999999348;0;0
1558,49999999555;0;0
1640,25000000402;0;0
1722,00000000157;0;0
1804,50000000201;0;0
1886,24999999956;0;0
1968,75;0;0
2050,49999999756;0;0
2132,24999999511;0;0
2214,74999999555;0;0
2265,50000000134;0;0
2292,75000000052;0;0
2320,25000000067;0;0
2347,49999999985;0;0
2375;0;0
2402,24999999919;0;0
2429,49999999837;0;0
2456,99999999852;0;0
2484,25000000134;0;0
