COMMAND;POSITION CE16 (mm);POSITION MLT (pts)
2527,25000000282;0;0
2554,50000000201;0;0
2582,00000000215;0;0
2609,25000000134;0;0
2636,75000000148;0;0
2664,00000000067;0;0
2691,24999999985;0;0
2718,75;0;0
2746,00000000282;0;0
2756,04500000052;0;0
2763,19500000056;0;0
2770,28000000035;0;0
2777,43000000039;0;0
2784,51500000017;0;0
2791,59999999996;0;0
2798,75;0;0
2805,83500000073;0;0
2812,92000000052;0;0
2820,07000000056;0;0
2827,15500000035;0;0
2834,30500000039;0;0
2841,39000000017;0;0
2848,47499999996;0;0
2855,625;0;0
2862,71000000073;0;0
2869,79500000052;0;0
2876,94500000056;0;0
2884,03000000035;0;0
2891,18000000039;0;0
2898,26500000017;0;0
2905,34999999996;0;0
2912,5;0;0
2919,58500000073;0;0
2926,67000000052;0;0
2933,82000000056;0;0
2940,90500000035;0;0
2948,05500000039;0;0
2955,14000000017;0;0
2962,22499999996;0;0
2969,375;0;0
2976,46000000073;0;0
2983,54500000052;0;0
2990,69500000056;0;0
2997,78000000035;0;0
3005,90500000035;0;0
3014,03000000035;0;0
3022,15500000035;0;0
3029,30500000039;0;0
3036,39000000017;0;0
3043,47499999996;0;0
3050,625;0;0
3057,71000000073;0;0
3064,79500000052;0;0
3071,94500000056;0;0
3079,03000000035;0;0
3086,18000000039;0;0
3093,26500000017;0;0
3100,34999999996;0;0
3107,5;0;0
3114,58500000073;0;0
3121,67000000052;0;0
3128,82000000056;0;0
3135,90500000035;0;0
3143,05500000039;0;0
3150,14000000017;0;0
3157,22499999996;0;0
3164,375;0;0
3171,46000000073;0;0
3178,54500000052;0;0
3185,69500000056;0;0
3192,78000000035;0;0
3199,93000000039;0;0
3207,01500000017;0;0
3214,09999999996;0;0
3221,25;0;0
3228,33500000073;0;0
3235,42000000052;0;0
3242,57000000056;0;0
3249,65500000035;0;0
3256,80500000039;0;0
3263,89000000017;0;0
3270,97499999996;0;0
3278,125;0;0
3285,21000000073;0;0
3292,29500000052;0;0
3299,44500000056;0;0
3306,53000000035;0;0
3313,68000000039;0;0
3320,76500000017;0;0
3327,84999999996;0;0
3335;0;0
3342,08500000073;0;0
3349,17000000052;0;0
3356,32000000056;0;0
3363,40500000035;0;0
3370,55500000039;0;0
3377,64000000017;0;0
3385,76500000017;0;0
3392,84999999996;0;0
3400;0;0
3406,31052631644;0;0
3412,62105263204;0;0
3418,98947368471;0;0
3425,30000000031;0;0
3431,66842105298;0;0
3437,97894736858;0;0
3444,28947368418;0;0
3450,65789473684;0;0
3456,96842105329;0;0
3464,20526315855;0;0
3471,44210526381;0;0
3477,75263157941;0;0
3484,12105263208;0;0
3490,43157894768;0;0
3497,66842105294;0;0
3504,03684210561;0;0
3511,27368421087;0;0
3518,51052631613;0;0
3524,82105263173;0;0
3531,13157894733;0;0
3537,5;0;0
3543,81052631644;0;0
3550,12105263204;0;0
3556,48947368471;0;0
3562,80000000031;0;0
3570,03684210557;0;0
3577,27368421084;0;0
3583,6421052635;0;0
3589,9526315791;0;0
3596,2631578947;0;0
3602,63157894737;0;0
3608,94210526381;0;0
3615,25263157941;0;0
3621,62105263208;0;0
3627,93157894768;0;0
3634,30000000034;0;0
3640,61052631594;0;0
3646,92105263155;0;0
3653,28947368421;0;0
3660,52631578947;0;0
3666,83684210592;0;0
3673,14736842152;0;0
3679,51578947418;0;0
3685,82631578978;0;0
3692,19473684245;0;0
3698,50526315805;0;0
3704,81578947365;0;0
3711,18421052632;0;0
3717,49473684276;0;0
3723,80526315836;0;0
3730,17368421102;0;0
3736,48421052663;0;0
3742,85263157929;0;0
3749,16315789489;0;0
3755,47368421049;0;0
3761,84210526316;0;0
3768,1526315796;0;0
3774,4631578952;0;0
3780,83157894787;0;0
3787,14210526347;0;0
3793,51052631613;0;0
3799,82105263173;0;0
3806,13157894733;0;0
3812,5;0;0
3818,81052631644;0;0
3825,12105263204;0;0
3831,48947368471;0;0
3837,80000000031;0;0
3844,16842105298;0;0
3850,47894736858;0;0
3856,78947368418;0;0
3863,15789473684;0;0
3869,46842105329;0;0
3875,77894736889;0;0
3882,14736842155;0;0
3888,45789473715;0;0
3894,82631578982;0;0
3901,13684210542;0;0
3907,44736842102;0;0
3913,81578947368;0;0
3920,12631579013;0;0
3926,43684210573;0;0
3932,80526315839;0;0
3939,11578947399;0;0
3945,48421052666;0;0
3951,79473684226;0;0
3958,10526315786;0;0
3964,47368421053;0;0
3970,78421052697;0;0
3977,09473684257;0;0
3983,46315789524;0;0
3989,77368421084;0;0
3996,1421052635;0;0
4002,4526315791;0;0
4008,7631578947;0;0
4015,13157894737;0;0
4021,44210526381;0;0
4027,75263157941;0;0
4034,12105263208;0;0
4040,43157894768;0;0
4046,80000000034;0;0
4053,11052631594;0;0
4059,42105263155;0;0
4065,78947368421;0;0
4072,10000000065;0;0
4078,41052631625;0;0
4085,64736842152;0;0
4092,01578947418;0;0
4098,32631578978;0;0
4104,69473684245;0;0
4111,00526315805;0;0
4117,31578947365;0;0
4123,68421052632;0;0
4129,99473684276;0;0
4136,30526315836;0;0
4142,67368421102;0;0
4148,98421052663;0;0
4155,35263157929;0;0
4161,66315789489;0;0
4167,97368421049;0;0
4174,34210526316;0;0
4180,6526315796;0;0
4186,9631578952;0;0
4193,33157894787;0;0
4199,64210526347;0;0
4206,01052631613;0;0
4212,32105263173;0;0
4218,63157894733;0;0
4225;0;0
4231,31052631644;0;0
4237,62105263204;0;0
4243,98947368471;0;0
4250,30000000031;0;0
4256,66842105297;0;0
4262,97894736858;0;0
4269,28947368418;0;0
4275,65789473684;0;0
4281,96842105329;0;0
4288,27894736889;0;0
4294,64736842155;0;0
4300,95789473715;0;0
4307,32631578982;0;0
4313,63684210542;0;0
4319,94736842102;0;0
4326,31578947368;0;0
4332,62631579013;0;0
4338,93684210573;0;0
4345,30526315839;0;0
4351,61578947399;0;0
4357,98421052666;0;0
4364,29473684226;0;0
4370,60526315786;0;0
4376,97368421053;0;0
4383,28421052697;0;0
4389,59473684257;0;0
4395,96315789524;0;0
4402,27368421084;0;0
4408,6421052635;0;0
4414,9526315791;0;0
4421,2631578947;0;0
4427,63157894737;0;0
4433,94210526381;0;0
4440,25263157941;0;0
4446,62105263208;0;0
4452,93157894768;0;0
4460,16842105294;0;0
4466,53684210561;0;0
4472,84736842121;0;0
4479,15789473681;0;0
4486,39473684207;0;0
4492,76315789474;0;0
4499,07368421118;0;0
4494,61578947322;0;0
4488,24736842055;0;0
4481,01052631529;0;0
4474,69999999969;0;0
4468,33157894703;0;0
4462,02105263142;0;0
